General Ledger,,,,,,,,,
"Johnson Family Dentistry, PLLC",,,,,,,,,
"January 1-December 31, 2023",,,,,,,,,
,,,,,,,,,
,Distribution account,Transaction date,Transaction type,Num,Name,Memo/Description,Split account,Amount,Balance
,306 Credit Card Payable,05/22/2023,Expense,,Home Depot,,Repairs & Maintenance,120.59,"33,201.93"
,306 Credit Card Payable,05/22/2023,Expense,,Home Depot,,Repairs & Maintenance,31.61,"33,233.54"
,306 Credit Card Payable,05/22/2023,Expense,,Dress Code,,Laundry & Uniforms,72.20,"33,305.74"
,306 Credit Card Payable,05/22/2023,Expense,,Baskin,,Staff Meetings,4.52,"33,310.26"
,306 Credit Card Payable,05/23/2023,Expense,,Clear Checks,,Office Supplies,34.98,"33,345.24"
,306 Credit Card Payable,05/23/2023,Expense,,Clear Checks,,Office Supplies,24.99,"33,370.23"
,306 Credit Card Payable,05/23/2023,Expense,,Amazon,,Office Supplies,25.00,"33,395.23"
,306 Credit Card Payable,05/23/2023,Expense,,Amazon,,Office Supplies,31.51,"33,426.74"
,306 Credit Card Payable,05/23/2023,Expense,,Fred Meyer,,Office Supplies,33.80,"33,460.54"
,306 Credit Card Payable,05/23/2023,Expense,,Clark Public utilities,,Utilities,195.54,"33,656.08"
,306 Credit Card Payable,05/23/2023,Expense,,Clark Public utilities,,Utilities,197.66,"33,853.74"
,306 Credit Card Payable,05/24/2023,Expense,,Pho House,,Staff Meetings,27.41,"33,881.15"
,306 Credit Card Payable,05/24/2023,Expense,,USPS,,Office Supplies,28.75,"33,909.90"
,306 Credit Card Payable,05/24/2023,Expense,,Solar FIlms,,Repairs & Maintenance,264.35,"34,174.25"
,306 Credit Card Payable,05/24/2023,Expense,,Meta Platform,,Advertising,9.99,"34,184.24"
,306 Credit Card Payable,05/24/2023,Expense,,Uline,,Office Supplies,102.41,"34,286.65"
,306 Credit Card Payable,05/25/2023,Expense,,Bellagios pizza,,Staff Meetings,75.90,"34,362.55"
,306 Credit Card Payable,05/25/2023,Expense,,Google,,Advertising,2.16,"34,364.71"
,306 Credit Card Payable,05/25/2023,Expense,,Fred Meyer,,Office Supplies,25.56,"34,390.27"
,306 Credit Card Payable,05/25/2023,Expense,,Google,,Advertising,13.04,"34,403.31"
,306 Credit Card Payable,05/25/2023,Expense,,Getaway Hous,,Withdrawals,300.00,"34,703.31"
,306 Credit Card Payable,05/25/2023,Expense,,AAPDORG,,Dues & Subscriptions,275.00,"34,978.31"
,306 Credit Card Payable,05/25/2023,Expense,,AAPDORG,,Dues & Subscriptions,275.00,"35,253.31"
,306 Credit Card Payable,05/25/2023,Expense,,American Heart Shop,CPR,Staff Seminars & Continuing Ed,343.49,"35,596.80"
,306 Credit Card Payable,05/25/2023,Expense,,American Heart Shop,,Staff Seminars & Continuing Ed,171.75,"35,768.55"
,306 Credit Card Payable,05/26/2023,Expense,,Mr Maple Donuts LLC,,Meals,113.44,"35,881.99"
,306 Credit Card Payable,05/26/2023,Expense,,Federal Express,,Office Supplies,11.41,"35,893.40"
,306 Credit Card Payable,05/26/2023,Expense,,Clear Checks,,Office Supplies,24.99,"35,918.39"
,306 Credit Card Payable,05/26/2023,Expense,,Uber,,Auto Expense,54.31,"35,972.70"
,306 Credit Card Payable,05/26/2023,Expense,,Sling.com,,Telephone,15.00,"35,987.70"
,306 Credit Card Payable,05/26/2023,Expense,,Amazon,,Office Supplies,5.42,"35,993.12"
,306 Credit Card Payable,05/26/2023,Credit Card Credit,,American Heart Shop,,Staff Seminars & Continuing Ed,-171.75,"35,821.37"
,306 Credit Card Payable,05/29/2023,Expense,,Starbucks,,Staff Meetings,6.69,"35,828.06"
,306 Credit Card Payable,05/29/2023,Expense,,Birdeye.com,,Office Supplies,271.75,"36,099.81"
,306 Credit Card Payable,05/29/2023,Expense,,Cedr,,Practice Consultants,149.00,"36,248.81"
,306 Credit Card Payable,05/29/2023,Expense,,Macpractice Inc,,Data Processing,200.00,"36,448.81"
,306 Credit Card Payable,05/29/2023,Expense,,PBHS,,Advertising,10.00,"36,458.81"
,306 Credit Card Payable,05/29/2023,Expense,,Uber,,Auto Expense,16.97,"36,475.78"
,306 Credit Card Payable,05/29/2023,Expense,,Uber,,Auto Expense,11.93,"36,487.71"
,306 Credit Card Payable,05/29/2023,Expense,,Uber,,Auto Expense,24.96,"36,512.67"
,306 Credit Card Payable,05/29/2023,Expense,,Uber,,Auto Expense,11.96,"36,524.63"
,306 Credit Card Payable,05/29/2023,Expense,,Uber,,Auto Expense,13.95,"36,538.58"
,306 Credit Card Payable,05/29/2023,Expense,,Uber,,Auto Expense,41.11,"36,579.69"
,306 Credit Card Payable,05/29/2023,Expense,,Uber,,Auto Expense,10.60,"36,590.29"
,306 Credit Card Payable,05/29/2023,Expense,,Netflix,,Office Supplies,21.73,"36,612.02"
,306 Credit Card Payable,05/29/2023,Expense,,Spotify,,Office Supplies,17.38,"36,629.40"
,306 Credit Card Payable,05/29/2023,Expense,,Henry Schein,,Dental Supplies,80.20,"36,709.60"
,306 Credit Card Payable,05/29/2023,Expense,,Charleys Philly Steaks,,Staff Meetings,24.55,"36,734.15"
,306 Credit Card Payable,05/29/2023,Expense,,GreenBeat,,Staff Meetings,19.56,"36,753.71"
,306 Credit Card Payable,05/29/2023,Expense,,Planet Hollywood,,Withdrawals,108.49,"36,862.20"
,306 Credit Card Payable,05/29/2023,Expense,,Coco,,Withdrawals,12.25,"36,874.45"
,306 Credit Card Payable,05/29/2023,Expense,,Jamba Juice,,Staff Meetings,20.38,"36,894.83"
,306 Credit Card Payable,05/29/2023,Expense,,Mt Adams Zen,,Withdrawals,200.00,"37,094.83"
,306 Credit Card Payable,05/29/2023,Expense,,Pop Bar,,Withdrawals,6.85,"37,101.68"
,306 Credit Card Payable,05/30/2023,Expense,,Dominos,,Staff Meetings,22.16,"37,123.84"
,306 Credit Card Payable,05/30/2023,Expense,,Cask & Larder,,Meals,70.97,"37,194.81"
,306 Credit Card Payable,05/30/2023,Expense,,WDW Connections,,Withdrawals,19.04,"37,213.85"
,306 Credit Card Payable,05/30/2023,Expense,,Hilton,,Travel & Lodging,"1,192.01","38,405.86"
,306 Credit Card Payable,05/30/2023,Expense,,PDX Airport Parking,,Auto Expense,96.00,"38,501.86"
,306 Credit Card Payable,05/31/2023,Expense,,Pho House,,Staff Meetings,17.92,"38,519.78"
,306 Credit Card Payable,05/31/2023,Expense,,Amazon,,Office Supplies,4.59,"38,524.37"
,306 Credit Card Payable,05/31/2023,Expense,,Amazon,,Office Supplies,70.61,"38,594.98"
,306 Credit Card Payable,06/01/2023,Credit Card Payment,,Bank Of America,,Cash in BOA 0693,"-21,839.51","16,755.47"
,306 Credit Card Payable,06/01/2023,Expense,,MOD PIZZA,,Staff Meetings,33.34,"16,788.81"
,306 Credit Card Payable,06/01/2023,Expense,,Amazon,,Office Supplies,43.47,"16,832.28"
,306 Credit Card Payable,06/01/2023,Expense,,Henry Schein,,Dental Supplies,"1,712.57","18,544.85"
,306 Credit Card Payable,06/02/2023,Expense,,Google,,Advertising,63.53,"18,608.38"
,306 Credit Card Payable,06/02/2023,Expense,,Starbucks,,Staff Meetings,4.84,"18,613.22"
,306 Credit Card Payable,06/02/2023,Expense,,Indeed,,Recruitment Costs,259.48,"18,872.70"
,306 Credit Card Payable,06/02/2023,Expense,,Iron Gate Storage,,Rent,112.50,"18,985.20"
,306 Credit Card Payable,06/02/2023,Expense,,Scentair Technologies,,Repairs & Maintenance,97.38,"19,082.58"
,306 Credit Card Payable,06/02/2023,Expense,,Lighthouse,,Advertising,29.00,"19,111.58"
,306 Credit Card Payable,06/02/2023,Expense,,Lighthouse,,Advertising,378.67,"19,490.25"
,306 Credit Card Payable,06/02/2023,Credit Card Credit,,Amazon,,Office Supplies,-25.00,"19,465.25"
,306 Credit Card Payable,06/02/2023,Expense,,Amazon,,Office Supplies,9.77,"19,475.02"
,306 Credit Card Payable,06/02/2023,Expense,,Amazon,,Office Supplies,7.55,"19,482.57"
,306 Credit Card Payable,06/02/2023,Expense,,Amazon,,Office Supplies,49.35,"19,531.92"
,306 Credit Card Payable,06/02/2023,Expense,,Airgas West,,Repairs & Maintenance,156.77,"19,688.69"
,306 Credit Card Payable,06/02/2023,Expense,,T-Mobile,,Telephone,224.20,"19,912.89"
,306 Credit Card Payable,06/02/2023,Expense,,Smilestream,,Advertising,330.00,"20,242.89"
,306 Credit Card Payable,06/05/2023,Expense,,Chick-Fil-A,,Meals,62.34,"20,305.23"
,306 Credit Card Payable,06/05/2023,Expense,,optisigns,,Advertising,10.00,"20,315.23"
,306 Credit Card Payable,06/05/2023,Expense,,Chevron,,Auto Expense,118.04,"20,433.27"
,306 Credit Card Payable,06/05/2023,Expense,,Amazon,,Office Supplies,1.43,"20,434.70"
,306 Credit Card Payable,06/05/2023,Expense,,Jameson Management,,Practice Consultants,"2,994.00","23,428.70"
,306 Credit Card Payable,06/05/2023,Expense,,Banfield,,Other General Costs,103.53,"23,532.23"
,306 Credit Card Payable,06/05/2023,Expense,,Amazon,,Office Supplies,11.88,"23,544.11"
,306 Credit Card Payable,06/05/2023,Expense,,Amazon,,Office Supplies,32.99,"23,577.10"
,306 Credit Card Payable,06/05/2023,Expense,,Amazon,,Office Supplies,63.82,"23,640.92"
,306 Credit Card Payable,06/05/2023,Expense,,Amazon,,Office Supplies,13.03,"23,653.95"
,306 Credit Card Payable,06/05/2023,Expense,,Apple,,Office Supplies,21.73,"23,675.68"
,306 Credit Card Payable,06/05/2023,Expense,,Wal-Mart,,Office Supplies,29.62,"23,705.30"
,306 Credit Card Payable,06/05/2023,Expense,,Wal-Mart,,Office Supplies,15.20,"23,720.50"
,306 Credit Card Payable,06/05/2023,Expense,,Wal-Mart,,Office Supplies,2.00,"23,722.50"
,306 Credit Card Payable,06/05/2023,Expense,,Comcast,,Telephone,133.00,"23,855.50"
,306 Credit Card Payable,06/05/2023,Expense,,DropBox,,Office Supplies,13.03,"23,868.53"
,306 Credit Card Payable,06/05/2023,Expense,,vyne dental,,Advertising,43.48,"23,912.01"
,306 Credit Card Payable,06/05/2023,Expense,,McMenamins,,Meals,179.54,"24,091.55"
,306 Credit Card Payable,06/05/2023,Expense,,Canva,,Advertising,12.99,"24,104.54"
,306 Credit Card Payable,06/06/2023,Expense,,Banfield,,Other General Costs,51.95,"24,156.49"
,306 Credit Card Payable,06/06/2023,Expense,,Amazon,,Office Supplies,206.52,"24,363.01"
,306 Credit Card Payable,06/06/2023,Expense,,Amazon,,Office Supplies,124.99,"24,488.00"
,306 Credit Card Payable,06/07/2023,Expense,,Google,,Advertising,24.99,"24,512.99"
,306 Credit Card Payable,06/07/2023,Expense,,Amazon,,Office Supplies,20.64,"24,533.63"
,306 Credit Card Payable,06/07/2023,Expense,,Apple,,Office Supplies,9.99,"24,543.62"
,306 Credit Card Payable,06/08/2023,Expense,,Starbucks,,Staff Meetings,18.04,"24,561.66"
,306 Credit Card Payable,06/08/2023,Expense,,ADP Marketplace,,Payroll Service,32.61,"24,594.27"
,306 Credit Card Payable,06/08/2023,Expense,,Amazon,,Office Supplies,32.60,"24,626.87"
,306 Credit Card Payable,06/08/2023,Expense,,Ring Unlimited,,Telephone,10.87,"24,637.74"
,306 Credit Card Payable,06/09/2023,Expense,,Amazon,,Office Supplies,18.56,"24,656.30"
,306 Credit Card Payable,06/09/2023,Expense,,Target,,Office Supplies,79.60,"24,735.90"
,306 Credit Card Payable,06/09/2023,Expense,,BlackRock Coffee,,Staff Meetings,60.27,"24,796.17"
,306 Credit Card Payable,06/12/2023,Expense,,GoTo Connect,,Office Supplies,331.85,"25,128.02"
,306 Credit Card Payable,06/12/2023,Expense,,Amazon,,Office Supplies,244.79,"25,372.81"
,306 Credit Card Payable,06/12/2023,Expense,,Amazon,,Office Supplies,41.81,"25,414.62"
,306 Credit Card Payable,06/12/2023,Expense,,Macpractice Inc,,Data Processing,326.96,"25,741.58"
,306 Credit Card Payable,06/12/2023,Expense,,Uber,,Auto Expense,7.27,"25,748.85"
,306 Credit Card Payable,06/12/2023,Expense,,Netflix,,Office Supplies,21.73,"25,770.58"
,306 Credit Card Payable,06/12/2023,Expense,,Pita Pit,,Staff Meetings,56.19,"25,826.77"
,306 Credit Card Payable,06/12/2023,Expense,,Zen Sushi Bar,,Meals,64.91,"25,891.68"
,306 Credit Card Payable,06/12/2023,Expense,,Exxon,,Auto Expense,70.50,"25,962.18"
,306 Credit Card Payable,06/13/2023,Expense,,Pho House,,Staff Meetings,17.92,"25,980.10"
,306 Credit Card Payable,06/13/2023,Expense,,Pho House,,Staff Meetings,41.16,"26,021.26"
,306 Credit Card Payable,06/14/2023,Expense,,Henry Schein,,Dental Supplies,"2,845.24","28,866.50"
,306 Credit Card Payable,06/14/2023,Expense,,COV Fire Inspection,,Repairs & Maintenance,229.00,"29,095.50"
,306 Credit Card Payable,06/15/2023,Expense,,Pho House,,Staff Meetings,17.92,"29,113.42"
,306 Credit Card Payable,06/15/2023,Expense,,Zayo Group,,Telephone,461.38,"29,574.80"
,306 Credit Card Payable,06/15/2023,Expense,,Apple,,Office Supplies,7.60,"29,582.40"
,306 Credit Card Payable,06/15/2023,Expense,,Dress Code,,Laundry & Uniforms,231.54,"29,813.94"
,306 Credit Card Payable,06/15/2023,Expense,,Henry Schein,,Dental Supplies,40.10,"29,854.04"
,306 Credit Card Payable,06/15/2023,Expense,,Panda Express,,Meals,36.58,"29,890.62"
,306 Credit Card Payable,06/16/2023,Expense,,Starbucks,,Staff Meetings,12.45,"29,903.07"
,306 Credit Card Payable,06/16/2023,Expense,,Home Depot,,Repairs & Maintenance,200.01,"30,103.08"
,306 Credit Card Payable,06/16/2023,Expense,,Wal-Mart,,Office Supplies,195.65,"30,298.73"
,306 Credit Card Payable,06/16/2023,Expense,,Wal-Mart,,Office Supplies,32.38,"30,331.11"
,306 Credit Card Payable,06/16/2023,Expense,,Uber,,Auto Expense,9.99,"30,341.10"
,306 Credit Card Payable,06/16/2023,Expense,,Netflix,,Office Supplies,21.73,"30,362.83"
,306 Credit Card Payable,06/16/2023,Expense,,Dev's Coffee Bar,,Staff Meetings,63.50,"30,426.33"
,306 Credit Card Payable,06/16/2023,Expense,,E and A Auto Repair,,Auto Expense,"1,036.00","31,462.33"
,306 Credit Card Payable,06/16/2023,Expense,,Pottery Barn,,Office Supplies,128.27,"31,590.60"
,306 Credit Card Payable,06/16/2023,Expense,,Pottery Barn,,Office Supplies,279.36,"31,869.96"
,306 Credit Card Payable,06/16/2023,Expense,,Heigladhesi,,Withdrawals,39.74,"31,909.70"
,306 Credit Card Payable,06/19/2023,Expense,,Google,,Advertising,2.16,"31,911.86"
,306 Credit Card Payable,06/19/2023,Expense,,MOD PIZZA,,Staff Meetings,33.34,"31,945.20"
,306 Credit Card Payable,06/19/2023,Expense,,Federal Express,,Office Supplies,44.50,"31,989.70"
,306 Credit Card Payable,06/19/2023,Expense,,AcLU,,Contributions,25.00,"32,014.70"
,306 Credit Card Payable,06/19/2023,Expense,,Amazon,,Office Supplies,33.66,"32,048.36"
,306 Credit Card Payable,06/19/2023,Expense,,Amazon,,Office Supplies,17.37,"32,065.73"
,306 Credit Card Payable,06/19/2023,Expense,,Amazon,,Office Supplies,12.22,"32,077.95"
,306 Credit Card Payable,06/19/2023,Expense,,Pottery Barn,,Office Supplies,47.81,"32,125.76"
,306 Credit Card Payable,06/19/2023,Expense,,Glenwood Station,,Withdrawals,56.31,"32,182.07"
,306 Credit Card Payable,06/20/2023,Expense,,Station Cafe,,Meals,57.40,"32,239.47"
,306 Credit Card Payable,06/20/2023,Expense,,Amazon,,Office Supplies,78.16,"32,317.63"
,306 Credit Card Payable,06/21/2023,Expense,,Clark County Food Bank,,Contributions,200.00,"32,517.63"
,306 Credit Card Payable,06/21/2023,Expense,,Amazon,,Office Supplies,115.08,"32,632.71"
,306 Credit Card Payable,06/22/2023,Expense,,Pho House,,Staff Meetings,56.07,"32,688.78"
,306 Credit Card Payable,06/22/2023,Expense,,Amazon,,Office Supplies,28.25,"32,717.03"
,306 Credit Card Payable,06/23/2023,Expense,,Uber Eats,,Staff Meetings,21.47,"32,738.50"
,306 Credit Card Payable,06/23/2023,Expense,,Fred Meyer,,Office Supplies,46.31,"32,784.81"
,306 Credit Card Payable,06/23/2023,Expense,,BlackRock Coffee,,Staff Meetings,12.90,"32,797.71"
,306 Credit Card Payable,06/23/2023,Expense,,Clark Public utilities,,Utilities,212.84,"33,010.55"
,306 Credit Card Payable,06/23/2023,Expense,,Clark Public utilities,,Utilities,211.29,"33,221.84"
,306 Credit Card Payable,06/23/2023,Expense,,Excel Orthodontics,,Lab Fees & X-Ray,317.50,"33,539.34"
,306 Credit Card Payable,06/23/2023,Expense,,Henry Schein,,Dental Supplies,"1,790.79","35,330.13"
,306 Credit Card Payable,06/23/2023,Expense,,Mr Maple Donuts LLC,,Staff Meetings,21.49,"35,351.62"
,306 Credit Card Payable,06/26/2023,Expense,,Meta Platform,,Advertising,65.00,"35,416.62"
,306 Credit Card Payable,06/26/2023,Expense,,Amazon,,Office Supplies,32.25,"35,448.87"
,306 Credit Card Payable,06/26/2023,Expense,,Amazon,,Office Supplies,43.47,"35,492.34"
,306 Credit Card Payable,06/26/2023,Expense,,Fred Meyer,,Office Supplies,16.76,"35,509.10"
,306 Credit Card Payable,06/26/2023,Expense,,Lowe's,,Repairs & Maintenance,46.63,"35,555.73"
,306 Credit Card Payable,06/26/2023,Expense,,Home Depot,,Repairs & Maintenance,660.18,"36,215.91"
,306 Credit Card Payable,06/26/2023,Expense,,BlackRock Coffee,,Staff Meetings,23.48,"36,239.39"
,306 Credit Card Payable,06/26/2023,Expense,,popeye's,,Meals,11.92,"36,251.31"
,306 Credit Card Payable,06/26/2023,Expense,,Mark Alper,,710.1 Office Supplies - PPT,690.40,"36,941.71"
,306 Credit Card Payable,06/28/2023,Expense,,Alaska air,,Travel & Lodging,767.80,"37,709.51"
,306 Credit Card Payable,06/28/2023,Expense,,Alaska air,,Travel & Lodging,767.80,"38,477.31"
,306 Credit Card Payable,06/28/2023,Expense,,Dominos,,Staff Meetings,28.74,"38,506.05"
,306 Credit Card Payable,06/28/2023,Expense,,PBHS,,Office Supplies,10.00,"38,516.05"
,306 Credit Card Payable,06/28/2023,Expense,,Wal-Mart,,Office Supplies,55.48,"38,571.53"
,306 Credit Card Payable,06/30/2023,Expense,,Pho House,,Staff Meetings,17.92,"38,589.45"
,306 Credit Card Payable,06/30/2023,Expense,,Clear Checks,,Office Supplies,24.99,"38,614.44"
,306 Credit Card Payable,06/30/2023,Expense,,Amazon,,Office Supplies,127.15,"38,741.59"
,306 Credit Card Payable,06/30/2023,Expense,,Nekter Juice Bar,,Advertising,108.28,"38,849.87"
,306 Credit Card Payable,06/30/2023,Expense,,Shred NW,,Repairs & Maintenance,59.79,"38,909.66"
,306 Credit Card Payable,07/03/2023,Expense,,Iron Gate Storage,,Rent,112.50,"39,022.16"
,306 Credit Card Payable,07/03/2023,Expense,,"Discus Dental, LLC",,Dental Supplies,651.99,"39,674.15"
,306 Credit Card Payable,07/03/2023,Expense,,Nekter Juice Bar,,Meals,10.73,"39,684.88"
,306 Credit Card Payable,07/04/2023,Expense,,Amazon,,Office Supplies,31.79,"39,716.67"
,306 Credit Card Payable,07/05/2023,Credit Card Payment,,Bank Of America,,Cash in BOA 0693,"-24,543.62","15,173.05"
,306 Credit Card Payable,07/05/2023,Expense,,Uber Eats,,Staff Meetings,61.50,"15,234.55"
,306 Credit Card Payable,07/05/2023,Expense,,Uber Eats,,Staff Meetings,11.97,"15,246.52"
,306 Credit Card Payable,07/05/2023,Expense,,Google,,Advertising,13.04,"15,259.56"
,306 Credit Card Payable,07/05/2023,Expense,,Netflix,,Office Supplies,21.73,"15,281.29"
,306 Credit Card Payable,07/05/2023,Expense,,Nike,,Laundry & Uniforms,966.75,"16,248.04"
,306 Credit Card Payable,07/05/2023,Expense,,Canva,,Advertising,12.99,"16,261.03"
,306 Credit Card Payable,07/06/2023,Expense,,Google,,Advertising,58.70,"16,319.73"
,306 Credit Card Payable,07/06/2023,Expense,,Jameson Management,,Practice Consultants,"2,994.00","19,313.73"
,306 Credit Card Payable,07/06/2023,Expense,,Amazon,,Office Supplies,106.60,"19,420.33"
,306 Credit Card Payable,07/06/2023,Expense,,Maintenance Man,,Repairs & Maintenance,951.13,"20,371.46"
,306 Credit Card Payable,07/07/2023,Expense,,Indeed,,Recruitment Costs,348.51,"20,719.97"
,306 Credit Card Payable,07/07/2023,Expense,,Lighthouse,,Advertising,29.00,"20,748.97"
,306 Credit Card Payable,07/07/2023,Expense,,Lighthouse,,Advertising,378.67,"21,127.64"
,306 Credit Card Payable,07/07/2023,Expense,,Amazon,,Office Supplies,10.86,"21,138.50"
,306 Credit Card Payable,07/07/2023,Expense,,Amazon,,Office Supplies,87.41,"21,225.91"
,306 Credit Card Payable,07/07/2023,Expense,,Home Depot,,Repairs & Maintenance,1.82,"21,227.73"
,306 Credit Card Payable,07/07/2023,Expense,,T-Mobile,,Telephone,224.20,"21,451.93"
,306 Credit Card Payable,07/07/2023,Expense,,Sushi Moto Bar,,Meals,66.78,"21,518.71"
,306 Credit Card Payable,07/07/2023,Expense,,onhold,,Telephone,129.00,"21,647.71"
,306 Credit Card Payable,07/10/2023,Expense,,Jersey Mike's,,Meals,79.99,"21,727.70"
,306 Credit Card Payable,07/10/2023,Expense,,optisigns,,Advertising,10.00,"21,737.70"
,306 Credit Card Payable,07/10/2023,Expense,,Starbucks,,Staff Meetings,7.77,"21,745.47"
,306 Credit Card Payable,07/10/2023,Expense,,Nike,,Laundry & Uniforms,326.00,"22,071.47"
,306 Credit Card Payable,07/10/2023,Expense,,Bisco,,Dental Supplies,167.40,"22,238.87"
,306 Credit Card Payable,07/10/2023,Expense,,Netflix,,Office Supplies,21.73,"22,260.60"
,306 Credit Card Payable,07/10/2023,Expense,,Sling.com,,Telephone,15.00,"22,275.60"
,306 Credit Card Payable,07/10/2023,Expense,,Ring Unlimited,,Telephone,10.87,"22,286.47"
,306 Credit Card Payable,07/10/2023,Expense,,vyne dental,,Advertising,43.48,"22,329.95"
,306 Credit Card Payable,07/10/2023,Expense,,Deschutes Brewing,,Meals,46.02,"22,375.97"
,306 Credit Card Payable,07/10/2023,Expense,,Thai Terrace,,Staff Meetings,18.31,"22,394.28"
,306 Credit Card Payable,07/11/2023,Expense,,Birdeye.com,,Office Supplies,271.75,"22,666.03"
,306 Credit Card Payable,07/11/2023,Expense,,GoTo Connect,,Office Supplies,331.92,"22,997.95"
,306 Credit Card Payable,07/11/2023,Expense,,Amazon,,Office Supplies,36.61,"23,034.56"
,306 Credit Card Payable,07/11/2023,Expense,,Wal-Mart,,Office Supplies,45.59,"23,080.15"
,306 Credit Card Payable,07/11/2023,Expense,,Denovo,,Dental Supplies,100.23,"23,180.38"
,306 Credit Card Payable,07/11/2023,Expense,,Jennifer B,,Advertising,"1,317.99","24,498.37"
,306 Credit Card Payable,07/12/2023,Expense,,Dominos,,Staff Meetings,28.74,"24,527.11"
,306 Credit Card Payable,07/12/2023,Expense,,Henry Schein,,Dental Supplies,40.10,"24,567.21"
,306 Credit Card Payable,07/12/2023,Expense,,Cain Watters Associates,,Legal & Professional Fees,"5,000.00","29,567.21"
,306 Credit Card Payable,07/13/2023,Expense,,Banfield,,Other General Costs,51.95,"29,619.16"
,306 Credit Card Payable,07/13/2023,Expense,,Amazon,,Office Supplies,304.35,"29,923.51"
,306 Credit Card Payable,07/13/2023,Expense,,Fred Meyer,,Office Supplies,30.42,"29,953.93"
,306 Credit Card Payable,07/13/2023,Expense,,Dress Code,,Laundry & Uniforms,"1,797.85","31,751.78"
,306 Credit Card Payable,07/13/2023,Expense,,IKEA,,Office Supplies,158.34,"31,910.12"
,306 Credit Card Payable,07/14/2023,Expense,,Pho House,,Staff Meetings,37.57,"31,947.69"
,306 Credit Card Payable,07/14/2023,Expense,,Starbucks,,Staff Meetings,16.82,"31,964.51"
,306 Credit Card Payable,07/14/2023,Expense,,Nike,,Laundry & Uniforms,108.67,"32,073.18"
,306 Credit Card Payable,07/14/2023,Expense,,Lowe's,,Repairs & Maintenance,"1,030.13","33,103.31"
,306 Credit Card Payable,07/14/2023,Expense,,AAPD Career Center,,Seminars & Continuing Education,350.00,"33,453.31"
,306 Credit Card Payable,07/14/2023,Expense,,figs,,Laundry & Uniforms,170.00,"33,623.31"
,306 Credit Card Payable,07/14/2023,Expense,,Kaady Car Wash,,Auto Expense,10.00,"33,633.31"
,306 Credit Card Payable,07/14/2023,Credit Card Credit,,Walmart,,Office Supplies,-22.27,"33,611.04"
,306 Credit Card Payable,07/14/2023,Expense,,XTreme Junk Removal,,Repairs & Maintenance,65.00,"33,676.04"
,306 Credit Card Payable,07/17/2023,Expense,,Google,,Advertising,2.16,"33,678.20"
,306 Credit Card Payable,07/17/2023,Expense,,Starbucks,,Staff Meetings,65.11,"33,743.31"
,306 Credit Card Payable,07/17/2023,Expense,,USPS,,Office Supplies,13.20,"33,756.51"
,306 Credit Card Payable,07/17/2023,Expense,,USPS,,Office Supplies,84.14,"33,840.65"
,306 Credit Card Payable,07/17/2023,Expense,,Clear Checks,,Office Supplies,24.99,"33,865.64"
,306 Credit Card Payable,07/17/2023,Expense,,Amazon,,Office Supplies,10.86,"33,876.50"
,306 Credit Card Payable,07/17/2023,Expense,,Amazon,,Office Supplies,8.69,"33,885.19"
,306 Credit Card Payable,07/17/2023,Expense,,Amazon,,Office Supplies,10.86,"33,896.05"
,306 Credit Card Payable,07/17/2023,Expense,,Uber,,Auto Expense,9.99,"33,906.04"
,306 Credit Card Payable,07/17/2023,Expense,,Zayo Group,,Telephone,461.38,"34,367.42"
,306 Credit Card Payable,07/17/2023,Expense,,Doordash,,Staff Meetings,85.60,"34,453.02"
,306 Credit Card Payable,07/17/2023,Expense,,Stoel Rives LLP,,Legal & Professional Fees,"1,318.00","35,771.02"
,306 Credit Card Payable,07/17/2023,Expense,,Muddy Paws,,Other General Costs,36.00,"35,807.02"
,306 Credit Card Payable,07/18/2023,Expense,,Pho House,,Staff Meetings,40.27,"35,847.29"
,306 Credit Card Payable,07/18/2023,Expense,,Clear Checks,,Office Supplies,24.99,"35,872.28"
,306 Credit Card Payable,07/18/2023,Expense,,Amazon,,Office Supplies,362.65,"36,234.93"
,306 Credit Card Payable,07/18/2023,Expense,,Comcast,,Telephone,276.00,"36,510.93"
,306 Credit Card Payable,07/18/2023,Expense,,Kaady Car Wash,,Auto Expense,15.00,"36,525.93"
,306 Credit Card Payable,07/18/2023,Expense,,Costco Gas,,Auto Expense,71.33,"36,597.26"
,306 Credit Card Payable,07/19/2023,Expense,,Dominos,,Staff Meetings,29.99,"36,627.25"
,306 Credit Card Payable,07/19/2023,Expense,,7-Eleven,,Meals,104.81,"36,732.06"
,306 Credit Card Payable,07/19/2023,Expense,,Amazon,,Office Supplies,384.65,"37,116.71"
,306 Credit Card Payable,07/19/2023,Expense,,Smilestream,,Advertising,75.00,"37,191.71"
,306 Credit Card Payable,07/19/2023,Expense,,Ultradent,,Dental Supplies,95.59,"37,287.30"
,306 Credit Card Payable,07/20/2023,Expense,,Amazon,,Office Supplies,28.24,"37,315.54"
,306 Credit Card Payable,07/20/2023,Expense,,Amazon,,Office Supplies,14.11,"37,329.65"
,306 Credit Card Payable,07/20/2023,Expense,,Amazon,,Office Supplies,109.90,"37,439.55"
,306 Credit Card Payable,07/20/2023,Expense,,Amazon,,Office Supplies,8.65,"37,448.20"
,306 Credit Card Payable,07/20/2023,Expense,,Macpractice Inc,,Data Processing,326.96,"37,775.16"
,306 Credit Card Payable,07/20/2023,Expense,,Henry Schein,,Dental Supplies,"3,758.47","41,533.63"
